"","Year","Day of Week","Month","Day","Time (ET)","Game Type","Home Team","Away Team","Arena","City","State","Attendance"
"1","1997","Saturday","June","21","4:00 PM","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA","14284"
"2","1997","Saturday","June","21","7:00 PM","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH","11455"
"3","1997","Saturday","June","21","5:00 AM","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT","8915"
"4","1997","Sunday","June","22","4:00 PM","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ","16102"
"5","1997","Monday","June","23","3:00 AM","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT","8036"
"6","1997","Monday","June","23","10:00 PM","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA","15259"
"7","1997","Tuesday","June","24","4:00 AM","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX","16285"
"8","1997","Wednesday","June","25","6:00 AM","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA","6397"
"9","1997","Thursday","June","26","7:00 PM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","8845"
"10","1997","Thursday","June","26","10:00 PM","Regular season","Sacramento Monarchs","Charlotte Sting","ARCO Arena","Sacramento","CA","6248"
"11","1997","Thursday","June","26","4:00 AM","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX","8931"
"12","1997","Friday","June","27","9:00 PM","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA","6670"
"13","1997","Saturday","June","28","5:00 PM","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT","6529"
"14","1997","Saturday","June","28","4:00 PM","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH","5930"
"15","1997","Sunday","June","29","4:00 PM","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY","17780"
"16","1997","Sunday","June","29","3:00 AM","Regular season","Charlotte Sting","Cleveland Rockers","Time Warner Cable Arena","Charlotte","NC","7289"
"17","1997","Monday","June","30","3:00 AM","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX","8301"
"18","1997","Wednesday","July","2","10:00 PM","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA","6156"
"19","1997","Wednesday","July","2","3:00 AM","Regular season","New York Liberty","Houston Comets","Madison Square Garden","New York","NY","8792"
"20","1997","Thursday","July","3","3:00 AM","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH","7414"
"21","1997","Thursday","July","3","5:00 AM","Regular season","Utah Starzz","Phoenix Mercury","EnergySolutions Arena","Salt Lake City","UT","6718"
"22","1997","Friday","July","4","9:00 PM","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX","10239"
"23","1997","Saturday","July","5","2:00 PM","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC","8975"
"24","1997","Saturday","July","5","5:00 AM","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT","7689"
"25","1997","Sunday","July","6","9:00 PM","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA","7420"
"26","1997","Monday","July","7","10:00 PM","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ","13731"
"27","1997","Monday","July","7","4:00 AM","Regular season","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX","5933"
"28","1997","Monday","July","7","5:00 AM","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT","5783"
"29","1997","Monday","July","7","6:00 AM","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA","5987"
"30","1997","Wednesday","July","9","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","11892"
"31","1997","Wednesday","July","9","3:00 AM","Regular season","Charlotte Sting","New York Liberty","Time Warner Cable Arena","Charlotte","NC","8913"
"32","1997","Thursday","July","10","7:00 PM","Regular season","Cleveland Rockers","Sacramento Monarchs","Quicken Loans Arena","Cleveland","OH","5629"
"33","1997","Thursday","July","10","3:00 AM","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY","9951"
"34","1997","Friday","July","11","9:00 PM","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA","7187"
"35","1997","Saturday","July","12","2:00 PM","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX","7751"
"36","1997","Saturday","July","12","5:00 PM","Regular season","Charlotte Sting","Cleveland Rockers","Time Warner Cable Arena","Charlotte","NC","6166"
"37","1997","Saturday","July","12","5:00 AM","Regular season","Utah Starzz","Phoenix Mercury","EnergySolutions Arena","Salt Lake City","UT","7076"
"38","1997","Sunday","July","13","9:00 PM","Regular season","Los Angeles Sparks","Phoenix Mercury","Great Western Forum","Los Angeles","CA","10494"
"39","1997","Monday","July","14","3:00 AM","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH","6749"
"40","1997","Monday","July","14","4:00 AM","Regular season","Houston Comets","Utah Starzz","Compaq Center","Houston","TX","6882"
"41","1997","Tuesday","July","15","10:00 PM","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA","8420"
"42","1997","Tuesday","July","15","3:00 AM","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY","8554"
"43","1997","Wednesday","July","16","10:00 PM","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ","12636"
"44","1997","Wednesday","July","16","3:00 AM","Regular season","Charlotte Sting","Utah Starzz","Time Warner Cable Arena","Charlotte","NC","6110"
"45","1997","Wednesday","July","16","6:00 AM","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA","7240"
"46","1997","Thursday","July","17","7:00 PM","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH","4301"
"47","1997","Thursday","July","17","3:00 AM","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY","9017"
"48","1997","Friday","July","18","9:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","6270"
"49","1997","Saturday","July","19","4:00 PM","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY","16236"
"50","1997","Saturday","July","19","7:00 PM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","6485"
"51","1997","Monday","July","21","4:00 AM","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA","5913"
"52","1997","Monday","July","21","3:00 AM","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC","6336"
"53","1997","Tuesday","July","22","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","12581"
"54","1997","Tuesday","July","22","3:00 AM","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY","9011"
"55","1997","Wednesday","July","23","3:00 AM","Regular season","Charlotte Sting","New York Liberty","Time Warner Cable Arena","Charlotte","NC","7266"
"56","1997","Wednesday","July","23","6:00 AM","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA","6815"
"57","1997","Friday","July","25","9:00 PM","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ","15648"
"58","1997","Friday","July","25","10:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","6402"
