Category: All categories

Month,WNBA: (United States)
2004-01,3
2004-02,3
2004-03,3
2004-04,6
2004-05,6
2004-06,7
2004-07,6
2004-08,3
2004-09,4
2004-10,4
2004-11,2
2004-12,2
2005-01,2
2005-02,3
2005-03,3
2005-04,4
2005-05,4
2005-06,9
2005-07,5
2005-08,4
2005-09,4
2005-10,3
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,4
2006-05,4
2006-06,5
2006-07,5
2006-08,5
2006-09,3
2006-10,1
2006-11,1
2006-12,1
2007-01,2
2007-02,2
2007-03,2
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,1
2007-11,1
2007-12,1
2008-01,2
2008-02,2
2008-03,2
2008-04,6
2008-05,6
2008-06,6
2008-07,8
2008-08,3
2008-09,4
2008-10,2
2008-11,1
2008-12,2
2009-01,1
2009-02,2
2009-03,2
2009-04,4
2009-05,2
2009-06,5
2009-07,5
2009-08,4
2009-09,4
2009-10,3
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,2
2010-04,4
2010-05,4
2010-06,3
2010-07,4
2010-08,4
2010-09,4
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,2
2011-04,6
2011-05,3
2011-06,6
2011-07,6
2011-08,4
2011-09,6
2011-10,3
2011-11,2
2011-12,1
2012-01,1
2012-02,2
2012-03,2
2012-04,4
2012-05,4
2012-06,5
2012-07,4
2012-08,3
2012-09,4
2012-10,6
2012-11,2
2012-12,1
2013-01,1
2013-02,2
2013-03,2
2013-04,8
2013-05,5
2013-06,7
2013-07,7
2013-08,5
2013-09,6
2013-10,4
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,5
2014-05,5
2014-06,6
2014-07,8
2014-08,7
2014-09,5
2014-10,1
2014-11,1
2014-12,1
2015-01,2
2015-02,2
2015-03,2
2015-04,4
2015-05,3
2015-06,6
2015-07,6
2015-08,5
2015-09,6
2015-10,5
2015-11,2
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,5
2016-05,6
2016-06,9
2016-07,7
2016-08,4
2016-09,6
2016-10,7
2016-11,1
2016-12,1
2017-01,2
2017-02,3
2017-03,3
2017-04,5
2017-05,6
2017-06,9
2017-07,9
2017-08,7
2017-09,8
2017-10,5
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,3
2018-04,5
2018-05,6
2018-06,10
2018-07,11
2018-08,12
2018-09,9
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,3
2019-03,3
2019-04,6
2019-05,5
2019-06,10
2019-07,10
2019-08,9
2019-09,9
2019-10,6
2019-11,2
2019-12,2
2020-01,4
2020-02,5
2020-03,3
2020-04,6
2020-05,3
2020-06,3
2020-07,9
2020-08,13
2020-09,10
2020-10,7
2020-11,2
2020-12,3
2021-01,4
2021-02,3
2021-03,5
2021-04,8
2021-05,10
2021-06,11
2021-07,9
2021-08,7
2021-09,10
2021-10,15
2021-11,3
2021-12,3
2022-01,3
2022-02,5
2022-03,8
2022-04,9
2022-05,14
2022-06,17
2022-07,21
2022-08,22
2022-09,14
2022-10,4
2022-11,4
2022-12,7
2023-01,4
2023-02,6
2023-03,5
2023-04,14
2023-05,15
2023-06,23
2023-07,23
2023-08,21
2023-09,20
2023-10,18
2023-11,4
2023-12,4
2024-01,4
2024-02,8
2024-03,9
2024-04,65
2024-05,100
2024-06,94
2024-07,76
2024-08,46
2024-09,88
2024-10,57
2024-11,9
2024-12,10
2025-01,10
2025-02,13
2025-03,13
2025-04,29
2025-05,57
2025-06,75
2025-07,98
